sample_id,study_id,timepoint,arm,Prevotella,Bifidobacterium,Lactobacillus,Clostridium,Faecalibacterium,Lachnospiraceae_unclassified,Ruminococcus,Dorea,Blautia,Roseburia,Eubacterium,Firmicutes_unclassified,Succinatimonas,Dialister,Coprococcus,Streptococcus,Escherichia,Collinsella,Bacteroides,Megasphaera
ST-30073-PW,PW:1056,32wk,Arm B,49.82347,4.4386,0.47731,1.53374,2.41266,3.83402,3.87929,5.40011,4.47751,2.06795,3.38393,1.43509,0.0,1.10761,5.11518,0.07644,0.81016,0.34338,0.0,0.0
ST-30074-PW,PW:1186,32wk,Arm C,9.81953,12.1404,0.80731,26.3794,5.69744,0.34152,3.78053,2.17377,1.68868,0.06457,4.44338,3.34567,4.34217,2.41614,1.70912,0.0,0.31453,0.43398,1.65247,0.42859
ST-30075-PW,PW:1241,32wk,Arm D,69.74687,1.56618,3.08587,1.61059,1.76205,0.53206,0.80736,1.49737,0.6545,1.49105,1.72285,0.32534,7.24999,2.25271,1.12084,0.16582,0.06313,0.87472,0.44244,0.18612
ST-30076-PW,PW:1193,32wk,Arm B,8.82615,40.26238,12.44829,0.28952,4.64548,1.9071,1.67817,2.94017,2.53474,1.62154,1.74617,3.78136,0.31843,3.61131,0.92233,1.21908,1.82633,1.68078,0.57716,2.29156
ST-30077-PW,PW:1078,32wk,Arm B,23.21834,26.46358,19.24295,2.85074,2.31646,1.20981,0.9309,4.45307,1.61035,1.59222,1.19891,0.0,0.0,2.65217,0.58893,1.11459,0.0,1.87006,0.02514,0.57032
ST-30078-PW,PW:1265,32wk,Arm A,11.35789,6.97388,8.8528,4.8352,6.96125,18.45036,5.87709,2.19405,1.912,6.25646,1.91693,2.78296,0.0,9.83368,2.23001,0.05979,0.17858,0.63458,1.89525,0.0
ST-30079-PW,PW:1216,32wk,Arm C,0.50423,43.41631,8.93666,1.67063,4.347,2.00188,2.60246,6.59186,2.18059,0.37466,2.71344,1.13915,0.0,0.0,3.46311,0.44538,0.02716,2.62212,0.42702,0.0
ST-30080-PW,PW:1359,32wk,Arm B,24.8339,5.23534,0.13761,25.10038,3.34435,3.15284,9.4033,2.76466,1.97097,1.67144,0.81956,1.91543,3.24251,0.91803,1.10436,0.06222,0.01899,0.41748,1.03488,0.80308
ST-30081-PW,PW:1357,32wk,Arm D,11.58285,5.09328,5.67144,13.85309,4.47435,3.37266,6.4033,2.39615,2.17832,2.74177,3.27827,5.60103,17.7957,1.75109,1.3392,0.43141,0.22552,1.07348,0.54116,0.15489
ST-30082-PW,PW:1435,32wk,Arm B,2.4774,15.83734,4.97642,3.95478,6.52242,2.23074,10.01703,12.56956,7.58606,3.36271,5.2189,1.95012,0.0,5.18715,2.72743,0.63169,0.69126,1.22618,0.2748,0.26555
