iso3,year,anaemia_children_pct,anaemia_children_pct_year,anaemia_pregnant_women_pct,anaemia_pregnant_women_pct_year,anaemia_women_repro_pct,anaemia_women_repro_pct_year,stunting_pct_who,stunting_pct_who_year,wasting_pct,wasting_pct_year,tb_incidence_per100k,tb_incidence_per100k_year,hiv_prevalence_pct,hiv_prevalence_pct_year,malaria_incidence_per1000,malaria_incidence_per1000_year,low_birthweight_pct,low_birthweight_pct_year,preterm_birth_rate_pct,preterm_birth_rate_pct_year,anc4_coverage_pct,anc4_coverage_pct_year,mcv1_coverage_pct,mcv1_coverage_pct_year,mcv2_coverage_pct,mcv2_coverage_pct_year,dtp3_coverage_pct,dtp3_coverage_pct_year,pcv3_coverage_pct,pcv3_coverage_pct_year,rotac_coverage_pct,rotac_coverage_pct_year,ors_coverage_pct,ors_coverage_pct_year,measles_reported_cases,measles_reported_cases_year,u5_mortality_per1000,u5_mortality_per1000_year,neonatal_mortality_per1000,neonatal_mortality_per1000_year,maternal_mortality_per100k,maternal_mortality_per100k_year,hci_score,hci_score_year,hci_learning_years,hci_learning_years_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,severe_food_insecurity_pct,severe_food_insecurity_pct_year,food_insecurity_mod_sev_pct,food_insecurity_mod_sev_pct_year,stunting_pct,stunting_pct_year,underweight_pct,underweight_pct_year,vitamin_a_deficiency_pct,vitamin_a_deficiency_pct_year,zinc_deficiency_pct,zinc_deficiency_pct_year,iron_deficiency_pct,iron_deficiency_pct_year,iodine_deficiency_pct,iodine_deficiency_pct_year,wheat_flour_legislation,maize_flour_legislation,lsff_any_mandatory,lsff_any_program,lsff_coverage_proxy_pct,who_region,who_region_code,country_name,region,income_level,folate_deficiency_pct,iron_intake_mg_per_day,iron_intake_inadequate_pct,folate_intake_ug_per_day,folate_intake_inadequate_pct,vita_intake_ug_per_day,vita_intake_inadequate_pct,mdd_w_pct,mdd_c_pct,iron_deficiency_pct_source,vitamin_a_deficiency_pct_source
MOZ,2023,68.2,2019.0,45.8,2019.0,47.0,2023.0,36.9,2023.0,3.8,2022.0,361.0,2023.0,11.8,2023.0,303.5024659,2023.0,17.8,2020.0,7.03498,2020.0,49.9,2023.0,65.0,2023.0,44.0,2023.0,70.0,2023.0,55.0,2023.0,60.0,2023.0,55.0,2011.0,656.0,2023.0,61.7,2023.0,25.6,2023.0,99.0,2023.0,0.362116664648056,2020.0,4.47178792953491,2020.0,1512.27640791481,2023.0,,,,,36.7,2022.0,15.4,2022.0,,,31.4,2005.0,,,,,mandatory,no_program,True,True,75.0,Africa,AFR,Mozambique,Sub-Saharan Africa ,Low income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
BGD,2023,43.1,2019.0,42.2,2019.0,37.5,2023.0,25.5,2023.0,10.7,2022.0,221.0,2023.0,0.1,2023.0,1.102654564,2023.0,23.0,2020.0,16.16349,2020.0,39.1,2023.0,96.0,2023.0,93.0,2023.0,97.0,2023.0,97.0,2023.0,0.0,2023.0,77.0,2014.0,281.0,2023.0,30.6,2023.0,18.0,2023.0,115.0,2023.0,0.46403643488884,2020.0,5.9894208908081,2020.0,8242.39798977242,2023.0,,,,,23.6,2022.0,21.7,2022.0,5.79915623582516,2021.0,29.7,2005.0,18.017285616579255,2021.0,,,mandatory,no_program,True,True,75.0,South-East Asia,SEAR,Bangladesh,South Asia,Lower middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
GNQ,2023,64.3,2019.0,48.1,2019.0,42.9,2023.0,15.5,2023.0,3.1,2011.0,203.0,2023.0,,,229.8104137,2023.0,,,,,66.9,2011.0,61.0,2023.0,28.0,2023.0,74.0,2023.0,0.0,2023.0,0.0,2023.0,40.4,2011.0,270.0,2023.0,70.4,2023.0,26.7,2023.0,174.0,2023.0,,,,,15688.2384192658,2023.0,,,,,,,,,,,28.0,2005.0,,,,,no_program,no_program,False,False,0.0,Africa,AFR,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
VEN,2023,27.9,2019.0,26.4,2019.0,29.1,2023.0,12.6,2023.0,4.1,2009.0,47.0,2023.0,0.6,2023.0,9.526991659,2023.0,9.3,2020.0,8.26915,2020.0,85.2,2018.0,68.0,2023.0,39.0,2023.0,54.0,2023.0,0.0,2023.0,0.0,2023.0,37.7,2000.0,0.0,2023.0,24.2,2023.0,15.0,2023.0,227.0,2023.0,,,,,,,,,,,,,,,7.08905156903824,2021.0,15.4,2005.0,43.21812401791018,2021.0,,,mandatory,mandatory,True,True,75.0,Americas,AMR,"Venezuela, RB",Latin America & Caribbean ,Not classified,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MRT,2023,65.5,2019.0,49.1,2019.0,53.9,2023.0,23.7,2023.0,13.6,2022.0,70.0,2023.0,0.1,2023.0,42.86421682,2023.0,,,,,38.5,2021.0,92.0,2023.0,24.0,2023.0,90.0,2023.0,90.0,2023.0,91.0,2023.0,25.4,2015.0,339.0,2023.0,38.1,2023.0,21.3,2023.0,381.0,2023.0,0.381546080112457,2020.0,4.23143672943115,2020.0,6276.47521079359,2023.0,13.1,2023.0,66.3,2023.0,25.1,2022.0,22.4,2022.0,4.0207688615592,2021.0,9.6,2005.0,28.37101702984323,2021.0,,,mandatory,mandatory,True,True,75.0,Africa,AFR,Mauritania,Sub-Saharan Africa ,Lower middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MNE,2023,14.7,2019.0,20.6,2019.0,25.7,2023.0,8.5,2023.0,2.2,2018.0,17.0,2023.0,0.1,2023.0,,,6.2,2020.0,,,75.4,2018.0,24.0,2023.0,69.0,2023.0,81.0,2023.0,0.0,2023.0,0.0,2023.0,16.3,2005.0,0.0,2023.0,2.5,2023.0,0.9,2023.0,6.0,2023.0,0.633181810379028,2020.0,8.9080924987793,2020.0,27243.51720726,2023.0,1.6,2023.0,10.4,2023.0,7.2,2018.0,3.7,2018.0,5.34923340035671,2021.0,7.5,2005.0,34.1382035846157,2021.0,,,,,,,,Europe,EUR,Montenegro,Europe & Central Asia,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
CMR,2023,59.2,2019.0,44.4,2019.0,38.7,2023.0,29.6,2023.0,4.3,2018.0,137.0,2023.0,2.7,2023.0,259.0790925,2023.0,12.5,2020.0,,,64.6,2022.0,71.0,2023.0,45.0,2023.0,75.0,2023.0,75.0,2023.0,72.0,2023.0,15.8,2014.0,6105.0,2023.0,67.0,2023.0,25.2,2023.0,258.0,2023.0,0.397401511669159,2020.0,5.28687429428101,2020.0,4875.25120768005,2023.0,24.7,2023.0,61.2,2023.0,28.9,2018.0,11.0,2018.0,7.52223046539356,2021.0,33.8,2005.0,25.32044269618986,2021.0,,,mandatory,no_program,True,True,75.0,Africa,AFR,Cameroon,Sub-Saharan Africa ,Lower middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MNP,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Mariana Islands,East Asia & Pacific,High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MNG,2023,21.7,2019.0,24.9,2019.0,18.6,2023.0,7.7,2023.0,2.7,2023.0,448.0,2023.0,0.1,2023.0,,,4.9,2020.0,6.0209,2020.0,93.6,2023.0,96.0,2023.0,96.0,2023.0,96.0,2023.0,96.0,2023.0,0.0,2023.0,41.8,2013.0,0.0,2023.0,13.6,2023.0,7.4,2023.0,41.0,2023.0,0.614397525787354,2020.0,9.15325736999512,2020.0,16222.8638898529,2023.0,0.7,2023.0,4.8,2023.0,8.8,2023.0,1.9,2023.0,2.3355809160133303,2021.0,4.1,2005.0,29.977507573084623,2021.0,,,mandatory,no_program,True,True,75.0,Western Pacific,WPR,Mongolia,East Asia & Pacific,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
TON,2023,34.0,2019.0,36.5,2019.0,20.6,2023.0,1.7,2023.0,1.1,2019.0,7.6,2023.0,,,,,,,,,88.5,2019.0,99.0,2023.0,99.0,2023.0,99.0,2023.0,99.0,2023.0,99.0,2023.0,,,12.0,2023.0,9.8,2023.0,4.3,2023.0,67.0,2023.0,0.531120657920837,2020.0,7.14021062850952,2020.0,7030.41917439715,2023.0,2.6,2022.0,14.8,2022.0,2.2,2019.0,0.8,2019.0,6.40545975479471,2021.0,10.4,2005.0,52.36558155000613,2021.0,,,,,,,,Western Pacific,WPR,Tonga,East Asia & Pacific,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
